ManufacturerId is 0x35393738333300
DAL version is 1.2.0.6
DAL device is activated
Instance state changed, now Starting
Instance state changed, now Running

Socket Descriptor validation: ProtocolArcp config=30440 actual=30440
677137.191360800: control=0 audio=1447 late=0 nonSeq=0
ProtocolArcpLocal config=30441 actual=30441
ProtocolDbcp config=30455 actual=30455
ProtocolCmcp config=34800 actual=34800
ProtocolConmonChannels config=34700 actual=34700
ProtocolConmonClient config=34900 actual=34900
ProtocolDomainClientProxy config=34001 actual=34001
ProtocolAudioBase config=30336 actual=30336
ProtocolWebSocket config=0 actual=60489
ProtocolMdnsClient config=34002 actual=34002
677149.290831700: control=0 audio=11920 late=0 nonSeq=0
677150.7864900: control=12099802 audio=1762 late=0 nonSeq=0
677151.4819300: control=24447 audio=1290 late=0 nonSeq=0
Component ConmonServer status changed, now Running
677152.12378200: control=23681 audio=1159 late=0 nonSeq=0
Component Mdns status changed, now Running
Component Apec status changed, now Running
677153.12309800: control=20703 audio=1119 late=0 nonSeq=0
677154.9826900: control=24047 audio=1133 late=0 nonSeq=0
677155.5883800: control=351752 audio=1421 late=0 nonSeq=0
677156.8901000: control=24160 audio=1162 late=0 nonSeq=0
677162.34834900: control=20874 audio=5417285 late=0 nonSeq=0
677163.26343100: control=5436088 audio=1759 late=0 nonSeq=0
677164.6340400: control=28866 audio=1139 late=0 nonSeq=0
677165.8847600: control=20712 audio=1169 late=0 nonSeq=0
677166.15384500: control=21097 audio=1257 late=0 nonSeq=0
677167.18841100: control=23768 audio=1161 late=0 nonSeq=0
677168.10391000: control=20734 audio=1112 late=0 nonSeq=0
677169.19359800: control=20984 audio=1005 late=0 nonSeq=0
677170.10353800: control=20988 audio=1112 late=0 nonSeq=0
677171.6818000: control=20902 audio=1217 late=0 nonSeq=0
677172.10313300: control=22403 audio=1202 late=0 nonSeq=0
677173.13441700: control=21168 audio=1241 late=0 nonSeq=0
677174.14389900: control=20881 audio=1248 late=0 nonSeq=0
677175.4843400: control=22967 audio=1246 late=0 nonSeq=0
677176.12325200: control=24858 audio=1203 late=0 nonSeq=0
677177.4349200: control=20865 audio=1156 late=0 nonSeq=0
677178.5862500: control=25575 audio=1121 late=0 nonSeq=0
677179.3173700: control=24313 audio=1086 late=0 nonSeq=0
677180.2379200: control=27056 audio=1575 late=0 nonSeq=0
